45723,753
45924,754
46125,754
46325,753
46526,751
46727,753
46926,756
47127,755
47328,752
47528,752
47729,755
47930,752
48130,750
48330,754
48531,756
48732,754
48932,752
49133,751
49334,753
49533,752
49734,749
49935,756
50136,755
50336,753
50537,752
50737,751
50937,752
51138,751
51339,749
51539,753
51740,755
51940,753
52141,750
52341,751
52542,752
52743,750
52943,748
53143,745
53344,755
53544,753
53745,750
53946,751
54147,748
54346,750
54547,748
54748,751
54948,753
55149,752
55350,750
55550,750
55751,751
55952,749
56152,748
56352,751
56553,753
56754,751
56954,750
57155,748
57355,753
57555,752
57756,751
57957,757
58158,758
58358,757
58558,757
58759,758
58959,759
59160,757
59361,760
59561,764
59761,763
59962,762
60163,759
60363,765
60564,764
60765,763
60965,767
61165,770
61366,769
61566,768
61767,769
61968,772
62169,770
62368,771
62569,774
62770,776
62970,773
63171,773
63372,781
63571,775
63772,775
63973,775
64174,780
64374,780
64575,779
64775,778
64975,779
65176,780
65377,779
65577,781
65778,786
65978,784
66179,783
66379,783
66580,785
66781,784
66981,782
67182,785
67382,788
67582,788
67783,786
67984,787
68185,789
68385,787
68585,786
68786,789
68986,792
69187,791
69388,790
69588,791
69788,792
69989,790
70190,789
70390,794
70591,796
70792,795
70991,793
71192,794
71393,795
71593,793
71794,792
71995,796
72195,797
72395,795
72596,798
72797,796
72997,796
73198,793
73399,793
73598,797
73799,798
74000,796
74201,795
74401,796
74602,797
74802,795
75002,795
75203,800
75404,800
75604,797
75805,794
76005,798
76206,798
76406,794
76607,797
76808,799
77008,799
77208,800
77409,797
77609,796
77810,798
78011,796
78212,797
78411,800
78612,800
78813,797
79013,798
79214,798
79415,798
79616,795
79815,797
80016,798
80217,800
80417,798
80618,798
80819,799
81018,798
81219,796
81420,798
81620,802
81821,801
82022,800
82222,799
82422,800
82623,800
82824,798
83024,800
83225,801
83425,802
83625,800
83826,796
84027,801
84228,800
84428,798
84628,800
84829,802
85029,803
85230,801
85431,800
85632,801
85832,802
86032,799
86233,801
86433,804
86634,804
86835,802
87035,800
87235,801
87436,801
87636,798
87837,800
88038,801
88239,803
88438,800
88639,793
88840,800
89040,800
89241,798
89442,800
89641,804
89842,802
90043,800
90244,800
90444,802
90645,801
90845,798
91045,802
91246,804
91447,802
91648,801
91848,802
92048,801
92249,799
92449,799
92650,801
92851,802
93051,800
93252,799
93452,800
93652,801
93853,799
94054,798
94255,802
94455,803
94655,799
94856,800
95056,801
95257,801
95458,799
95659,799
95858,802
96059,803
96260,800
96460,800
96661,801
96862,802
97061,800
97262,801
97463,804
97664,806
97864,804
98065,801
98265,803
98465,803
98666,800
98867,801
99067,805
